K,n_sentences,n_gold,recall_at_K,us_per_sent_loop,us_per_sent_kernel,sent_per_sec_kernel,gpu_table_MB,gpu_used_MB,score_mismatch,count_mismatch,n_check,n_chunks,n_launches
1,119503,0,NA,1.046,1.042,959579.6,9.645,16.000,0,0,0,8,324
5,119503,0,NA,0.819,0.816,1225502.4,38.580,46.000,0,0,0,8,324
16,119503,0,NA,0.721,0.718,1393009.4,118.151,124.000,0,0,0,8,324
24,119503,0,NA,0.723,0.720,1389675.3,176.021,178.000,0,0,0,8,324
32,119503,0,NA,0.722,0.718,1391962.6,233.891,238.000,0,0,0,8,324
48,119503,0,NA,2.712,2.700,370333.7,349.631,352.000,0,0,0,8,324
64,119503,0,NA,2.747,2.735,365597.9,465.371,472.000,0,0,0,8,324
