K,n_sentences,n_gold,recall_at_K,us_per_sent_loop,us_per_sent_kernel,sent_per_sec_kernel,gpu_table_MB,gpu_used_MB,score_mismatch,count_mismatch,n_check,n_chunks,n_launches
1,119503,0,NA,1.023,1.020,980352.6,18.947,24.000,0,0,0,4,176
5,119503,0,NA,0.664,0.662,1511627.1,75.786,78.000,0,0,0,4,176
16,119503,0,NA,0.571,0.569,1756953.9,232.096,234.000,0,0,0,4,176
24,119503,0,NA,0.573,0.571,1750392.2,345.776,348.000,0,0,0,4,176
32,119503,0,NA,0.571,0.569,1756530.8,459.456,462.000,0,0,0,4,176
48,119503,0,NA,2.160,2.149,465366.0,686.815,690.000,0,0,0,4,176
64,119503,0,NA,2.191,2.180,458707.8,914.175,918.000,0,0,0,4,176
