K,n_sentences,n_gold,recall_at_K,us_per_sent_loop,us_per_sent_kernel,sent_per_sec_kernel,gpu_table_MB,gpu_used_MB,score_mismatch,count_mismatch,n_check,n_chunks,n_launches
1,119503,0,NA,1.856,1.846,541571.4,2.518,4.000,0,0,0,30,1003
5,119503,0,NA,1.257,1.249,800607.5,10.073,14.000,0,0,0,30,1003
16,119503,0,NA,1.267,1.259,794416.4,30.847,38.000,0,0,0,30,1003
24,119503,0,NA,1.270,1.262,792361.3,45.956,50.000,0,0,0,30,1003
32,119503,0,NA,1.271,1.263,791539.1,61.065,68.000,0,0,0,30,1003
48,119503,0,NA,4.943,4.933,202723.0,91.283,98.000,0,0,0,30,1003
64,119503,0,NA,4.964,4.956,201791.6,121.500,128.000,0,0,0,30,1003
