K,n_sentences,n_gold,recall_at_K,us_per_sent_loop,us_per_sent_kernel,sent_per_sec_kernel,gpu_table_MB,gpu_used_MB,score_mismatch,count_mismatch,n_check,n_chunks,n_launches,us_per_sent_k4,us_per_sent_k3,k4_mode,scorer
1,119503,0,NA,1.517,1.516,659520.5,68.484,72.000,0,0,0,1,363,0.000,1.516,host,biaffine
5,119503,0,NA,1.006,1.005,994886.3,273.935,276.000,0,0,0,1,363,0.000,1.005,host,biaffine
16,119503,0,NA,1.010,1.009,990798.1,838.927,840.000,0,0,0,1,363,0.000,1.009,host,biaffine
24,119503,0,NA,1.010,1.009,991227.3,1249.830,1254.000,0,0,0,1,363,0.000,1.009,host,biaffine
32,119503,0,NA,1.012,1.011,988708.0,1660.732,1662.000,0,0,0,1,363,0.000,1.011,host,biaffine
48,119503,0,NA,4.280,4.279,233678.6,2482.538,2484.000,0,0,0,1,363,0.000,4.279,host,biaffine
64,119503,0,NA,4.393,4.392,227706.2,3304.344,3306.000,0,0,0,1,363,0.000,4.392,host,biaffine
