K,n_sentences,n_gold,recall_at_K,us_per_sent_loop,us_per_sent_kernel,sent_per_sec_kernel,gpu_table_MB,gpu_used_MB,score_mismatch,count_mismatch,n_check,n_chunks,n_launches,us_per_sent_k4,us_per_sent_k3,k4_mode,scorer
1,119503,0,NA,15.394,15.394,64960.9,68.484,72.000,0,0,0,1,363,14.347,1.046,fused,biaffine
5,119503,0,NA,15.366,15.365,65081.2,273.935,276.000,0,0,0,1,363,14.311,1.054,fused,biaffine
16,119503,0,NA,15.375,15.374,65043.4,838.927,840.000,0,0,0,1,363,14.317,1.058,fused,biaffine
24,119503,0,NA,15.373,15.372,65052.2,1249.830,1254.000,0,0,0,1,363,14.314,1.059,fused,biaffine
32,119503,0,NA,15.417,15.417,64864.5,1660.732,1662.000,0,0,0,1,363,14.360,1.056,fused,biaffine
48,119503,0,NA,18.730,18.729,53392.4,2482.538,2484.000,0,0,0,1,363,14.405,4.324,fused,biaffine
64,119503,0,NA,18.806,18.806,53174.8,3304.344,3306.000,0,0,0,1,363,14.348,4.458,fused,biaffine
