K,n_sentences,n_gold,recall_at_K,us_per_sent_loop,us_per_sent_kernel,sent_per_sec_kernel,gpu_table_MB,gpu_used_MB,score_mismatch,count_mismatch
1,2000,911,0.046103,385.578,246.061,4064.0,68.484,72.000,0,0
5,2000,911,0.093304,388.084,248.234,4028.4,273.935,276.000,0,0
16,2000,911,0.164654,395.920,254.573,3928.2,838.927,840.000,0,0
24,2000,911,0.206367,387.330,247.463,4041.0,1249.830,1254.000,0,0
32,2000,911,0.226125,382.515,244.628,4087.8,1660.732,1662.000,0,0
48,2000,911,0.267838,884.897,750.397,1332.6,2482.538,2484.000,0,0
64,2000,911,0.293085,891.706,757.653,1319.9,3304.344,3306.000,0,0
