K,n_sentences,n_gold,recall_at_K,us_per_sent_loop,us_per_sent_kernel,sent_per_sec_kernel,gpu_table_MB,gpu_used_MB,score_mismatch,count_mismatch,n_check,n_chunks,n_launches,us_per_sent_k4,us_per_sent_k3,k4_mode,scorer
1,119503,0,NA,2.120,2.120,471642.0,68.484,72.000,0,0,0,1,363,1.090,1.030,twopass,biaffine
5,119503,0,NA,2.130,2.129,469658.5,273.935,276.000,0,0,0,1,363,1.092,1.037,twopass,biaffine
16,119503,0,NA,2.146,2.146,466083.4,838.927,840.000,0,0,0,1,363,1.095,1.050,twopass,biaffine
24,119503,0,NA,2.141,2.140,467182.3,1249.830,1254.000,0,0,0,1,363,1.098,1.043,twopass,biaffine
32,119503,0,NA,2.151,2.151,464995.1,1660.732,1662.000,0,0,0,1,363,1.092,1.058,twopass,biaffine
48,119503,0,NA,5.389,5.388,185587.0,2482.538,2484.000,0,0,0,1,363,1.085,4.303,twopass,biaffine
64,119503,0,NA,5.492,5.492,182091.0,3304.344,3306.000,0,0,0,1,363,1.087,4.405,twopass,biaffine
