K,n_sentences,n_gold,recall_at_K,us_per_sent_loop,us_per_sent_kernel,sent_per_sec_kernel,gpu_table_MB,gpu_used_MB,score_mismatch,count_mismatch,n_check,n_chunks,n_launches
1,119503,0,NA,1.260,1.254,797630.7,4.956,8.000,0,0,0,15,568
5,119503,0,NA,0.928,0.922,1084804.2,19.826,26.000,0,0,0,15,568
16,119503,0,NA,0.938,0.932,1072679.3,60.716,62.000,0,0,0,15,568
24,119503,0,NA,0.940,0.934,1070269.1,90.454,92.000,0,0,0,15,568
32,119503,0,NA,0.942,0.936,1068251.0,120.192,122.000,0,0,0,15,568
48,119503,0,NA,3.561,3.556,281250.7,179.669,182.000,0,0,0,15,568
64,119503,0,NA,3.587,3.581,279257.2,239.145,242.000,0,0,0,15,568
