K,n_sentences,n_gold,recall_at_K,us_per_sent_loop,us_per_sent_kernel,sent_per_sec_kernel,gpu_table_MB,gpu_used_MB,score_mismatch,count_mismatch
1,119503,59092,0.083125,340.992,212.833,4698.5,68.484,72.000,0,0
5,119503,59092,0.166283,342.399,213.942,4674.2,273.935,276.000,0,0
16,119503,59092,0.252894,343.014,214.919,4652.9,838.927,840.000,0,0
24,119503,59092,0.289193,343.862,215.183,4647.2,1249.830,1254.000,0,0
32,119503,59092,0.310448,342.269,214.834,4654.8,1660.732,1662.000,0,0
48,119503,59092,0.345174,845.581,717.347,1394.0,2482.538,2484.000,0,0
64,119503,59092,0.367867,844.252,716.384,1395.9,3304.344,3306.000,0,0
