K,n_sentences,n_gold,recall_at_K,us_per_sent_loop,us_per_sent_kernel,sent_per_sec_kernel,gpu_table_MB,gpu_used_MB,score_mismatch,count_mismatch,n_check,n_chunks,n_launches
1,119503,0,NA,3.065,3.047,328192.1,0.679,2.000,0,0,0,117,3139
5,119503,0,NA,2.663,2.647,377828.5,2.715,4.000,0,0,0,117,3139
16,119503,0,NA,2.667,2.651,377231.3,8.314,14.000,0,0,0,117,3139
24,119503,0,NA,2.669,2.653,377000.9,12.386,20.000,0,0,0,117,3139
32,119503,0,NA,2.672,2.655,376654.2,16.458,20.000,0,0,0,117,3139
48,119503,0,NA,10.669,10.651,93886.5,24.603,32.000,0,0,0,117,3139
64,119503,0,NA,10.664,10.647,93926.1,32.747,38.000,0,0,0,117,3139
