K,n_sentences,n_gold,recall_at_K,us_per_sent_loop,us_per_sent_kernel,sent_per_sec_kernel,gpu_table_MB,gpu_used_MB,score_mismatch,count_mismatch,n_check,n_chunks,n_launches
1,119503,59092,0.083125,0.749,0.748,1337575.7,68.484,72.000,0,0,119503,1,50
5,119503,59092,0.166283,0.750,0.749,1334898.3,273.935,276.000,0,0,119503,1,50
16,119503,59092,0.252894,0.750,0.749,1335448.2,838.927,840.000,0,0,119503,1,50
24,119503,59092,0.289193,0.751,0.750,1333388.4,1249.830,1254.000,0,0,119503,1,50
32,119503,59092,0.310448,0.750,0.749,1334776.2,1660.732,1662.000,0,0,119503,1,50
48,119503,59092,0.345174,2.225,2.224,449623.9,2482.538,2484.000,0,0,119503,1,50
64,119503,59092,0.367867,2.117,2.115,472740.6,3304.344,3306.000,0,0,119503,1,50
