K,n_sentences,n_gold,recall_at_K,us_per_sent_loop,us_per_sent_kernel,sent_per_sec_kernel,gpu_table_MB,gpu_used_MB,score_mismatch,count_mismatch,n_check,n_chunks,n_launches
1,119503,0,NA,0.852,0.851,1175047.1,37.715,40.000,0,0,0,2,94
5,119503,0,NA,0.618,0.617,1621268.5,150.859,154.000,0,0,0,2,94
16,119503,0,NA,0.499,0.498,2007019.2,462.005,466.000,0,0,0,2,94
24,119503,0,NA,0.473,0.472,2119930.0,688.293,694.000,0,0,0,2,94
32,119503,0,NA,0.474,0.473,2114437.5,914.581,916.000,0,0,0,2,94
48,119503,0,NA,1.822,1.812,551819.7,1367.158,1372.000,0,0,0,2,94
64,119503,0,NA,1.868,1.858,538259.3,1819.734,1822.000,0,0,0,2,94
