K,n_sentences,n_gold,recall_at_K,us_per_sent_loop,us_per_sent_kernel,sent_per_sec_kernel,gpu_table_MB,gpu_used_MB,score_mismatch,count_mismatch,n_check,n_chunks,n_launches
1,119503,0,NA,7.177,7.123,140392.2,0.194,2.000,0,0,0,467,10126
5,119503,0,NA,6.435,6.382,156695.1,0.774,2.000,0,0,0,467,10126
16,119503,0,NA,6.454,6.400,156254.3,2.372,4.000,0,0,0,467,10126
24,119503,0,NA,6.454,6.399,156283.4,3.533,6.000,0,0,0,467,10126
32,119503,0,NA,6.452,6.398,156300.0,4.695,6.000,0,0,0,467,10126
48,119503,0,NA,25.985,25.930,38566.0,7.018,14.000,0,0,0,467,10126
64,119503,0,NA,25.965,25.909,38596.7,9.341,14.000,0,0,0,467,10126
